Name|Description|Folder|Colors|Stripes|Chevrons|Symbols|Irregular
abrosexual|Sexual identity changes fluidly.|main|5|5|0|0|0
agender|Doesn’t identify with any gender.|main|4|7|0|0|0
androgynous|Partly male/partly female appearance; of indeterminate sex.|main|3|1|0|0|0
androphilia|Attracted to men or masculinity.|main|4|4|0|0|0
aromantic|Experiences little or no romantic attraction to others.|main|5|5|0|0|0
asexual|Experiences little or no sexual attraction to others.|main|4|4|0|0|0
autosexual|Sexually attracted to themselves or prefers self-gratification over other forms of sexual activity.|main|2|2|0|0|0
basic|basic lgbt pride flag|main|6|6|0|0|0
bear|Hairy, heavy-set gay or bisexual man and those who are attracted to them.|main|7|7|0|1|1
bigender|Identifies as having two genders.|main|6|7|0|0|0
bisexual|Attracted to two or more genders or attracted to more than one gender|main|3|3|0|0|1
butch|Lesbian who dresses, acts, or speaks in traditionally “masculine” ways.|main|7|7|0|0|0
demiboy|Partially, but not wholly, identifies as a man or boy, regardless of their assigned gender at birth. |main|4|7|0|0|0
demigirl|Partially, but not wholly, identifies as a woman or girl, regardless of their assigned gender at birth. |main|4|7|0|0|0
demisexual|Doesn’t experience sexual attraction without a strong emotional connection with that person.|main|4|3|1|0|0
genderfluid|Gender identity changes over time, or any other combination of binary and non-binary identities.|main|5|5|0|0|0
genderqueer|Doesn’t subscribe to conventional gender distinctions and identifies with neither, both, or a combination of male, female, or other genders.|main|3|3|0|0|0
gynephilia|Attracted to women or femininity.|main|4|4|0|0|0
intersex|Born with a reproductive or sexual anatomy that doesn’t fit the typical definitions of female or male|main|2|1|0|1|0
lesbian_wlw|Homosexual woman. Recent variation|main|5|5|0|0|0
lesbian(labrys)|Homosexual woman. |main|3|1|0|2|0
lipstick-femme|Lesbian who favors glamorous or traditionally feminine style.|main|8|7|0|1|0
lithromantic|Romantic attraction toward others but only enjoys romantic relationships in theory. Also known as an akoiromantic or apromantic.|main|3|3|0|0|0
mlm|Homosexual man. Recent Variation.|main|5|5|0|0|0
mlm(7-stripe)|Homosexual man. Recent Variation.|main|7|7|0|0|0
neutrois|A non-binary gender identity which is considered to be a neutral or null gender.|main|3|3|0|0|0
nonbinary|Identifies as neither male nor female but a different gender entirely.|main|4|4|0|0|0
omnisexual|Romantically, emotionally, or sexually attracted to persons of all genders and orientations.|main|5|5|0|0|0
original-pride|Original 1978 version of gay pride flag.|main|8|8|0|0|0
pansexual|Attracted to all genders.|main|3|3|0|0|0
polyamory|Romantic relationships involving more than two people, but with the knowledge and consent of all involved.|main|4|3|0|1|0
polysexual|Attracted to multiple (though not necessarily all) genders.|main|3|3|0|0|0
pride-poc-inclusive|Variation of gay pride flag inclusive of PoC|main|8|8|0|0|0
progress|LGBT Pride flag including PoC and Trans solidarity.|main|11|6|5|0|0
Qpoc|Variation of gay pride flag centering diversity|main|13|6|0|1|0
queer|This is for you to define for yourself.|main|8|9|0|0|0
quiromantic|Not understanding or actively disidentifying with romance/romantic attraction/romantic orientation as sensible/applicable categories, personally|main|4|4|0|0|0
skoliosexual|Attracted to gender expressions other than cisgender.|main|4|4|0|0|0
transgender|Identifies as a gender that differs from the one assigned at birth.|main|3|5|0|0|0
trigender|experiencing exactly three gender identities either simultaneously or alternately.|main|3|5|0|0|0
twink|Homosexual male with attractive, boyish qualities. |main|4|3|0|1|0
twospirit|culturally distinct gender that describes Indigenous North Americans who fulfill one of many mixed gender roles found traditionally among many Native Americans and Canadian First Nations indigenous groups.|main|8|6|0|2|0
fetish|Possesses a habitual erotic desire for an object, behavior, (nongential) part of the body, concept, or feeling.|fetish|4||||
ageplay|fetish|fetish|5||||
bdsm|fetish|fetish|4|9|0|1|0
boi|fetish|fetish|4||||
boots|fetish|fetish|4||||
fat|fetish|fetish|5||||
fisting|fetish|fetish|2||||
foot|fetish|fetish|4||||
muscle|fetish|fetish|5||||
freak|fetish|fetish|6||||
goth|fetish|fetish|2||||
leather|fetish|fetish|4||||
Leather-girl|fetish|fetish|4||||
Long-hair|fetish|fetish|10||||
master-slave|fetish|fetish|2||||
mask|fetish|fetish|4||||
military|fetish|fetish|5||||
ownership|fetish|fetish|3||||
pony|fetish|fetish|4||||
puppy|fetish|fetish|4||||
rubber-latex|fetish|fetish|3||||
tickle|fetish|fetish|3||||
watersports|fetish|fetish|4||||
